,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,9877.0,10023.0,10017.0,10197.0,10162.0,10087.0,9958.0,9954.0,9942.0,9983.0,10052.0,10026.0,9877.0,9966.0,9886.0,10119.0,10158.0,9951.0,10099.0,10076.0
1,9745.294,9872.452,9882.986,10058.233,10020.912,9948.521,9831.402,9810.076,9804.039,9838.205,9909.068,9891.491,9747.532,9825.952,9758.586,9992.237,10013.598,9815.513,9968.081,9933.017
2,9622.719,9741.234,9762.272,9928.9795,9900.719,9831.155,9719.832,9683.813,9684.931,9718.434,9776.791,9770.6875,9631.659,9697.598,9651.743,9867.568,9885.289,9704.754,9851.5205,9813.903
3,9527.269,9638.76,9664.63,9814.576,9799.038,9728.045,9616.864,9571.636,9573.136,9620.229,9663.114,9671.823,9534.225,9597.978,9555.593,9762.408,9779.797,9604.814,9753.862,9707.873
4,9453.239,9565.428,9584.569,9725.004,9723.333,9640.508,9532.797,9488.253,9483.095,9534.922,9566.456,9592.582,9452.355,9511.031,9482.002,9675.858,9696.387,9529.513,9679.817,9617.937
5,9399.224,9514.367,9519.787,9657.181,9661.498,9573.213,9465.104,9419.665,9400.409,9466.109,9494.949,9535.691,9391.62,9447.552,9428.62,9599.863,9627.067,9469.898,9623.209,9548.8125
6,9366.001,9483.256,9479.289,9610.527,9625.109,9527.09,9413.599,9372.959,9338.677,9417.096,9443.446,9503.755,9347.044,9411.71,9386.437,9540.545,9581.308,9426.519,9587.98,9494.848
7,9349.889,9481.951,9460.445,9580.639,9616.68,9499.326,9379.202,9350.959,9292.027,9378.234,9406.476,9493.266,9327.068,9393.323,9370.855,9501.925,9557.703,9399.577,9573.3125,9463.896
8,9361.505,9501.087,9468.791,9572.4,9624.521,9492.131,9358.311,9349.314,9263.373,9365.119,9394.729,9503.426,9330.03,9398.676,9381.073,9473.704,9560.56,9394.998,9577.391,9448.972
9,9393.38,9555.425,9502.555,9581.405,9651.323,9506.172,9348.175,9369.204,9251.211,9364.261,9407.035,9536.598,9349.2295,9430.489,9404.945,9458.667,9580.308,9415.573,9604.627,9452.76
10,9453.061,9638.516,9548.212,9613.696,9694.821,9540.967,9360.471,9411.481,9260.088,9385.3125,9433.249,9588.183,9384.972,9479.827,9451.798,9463.512,9622.503,9453.163,9642.392,9475.1
11,9531.516,9743.251,9620.381,9656.905,9761.498,9593.823,9388.282,9478.038,9281.325,9423.816,9478.95,9669.553,9444.092,9550.505,9519.876,9486.355,9688.648,9506.563,9709.065,9518.8
12,9627.21,9876.141,9712.384,9729.34,9849.454,9666.068,9435.601,9564.003,9310.094,9480.943,9549.562,9773.494,9529.465,9647.176,9608.635,9529.986,9775.245,9582.586,9792.816,9579.975
13,9753.298,10039.947,9831.648,9821.101,9957.26,9761.21,9490.33,9675.116,9358.038,9555.847,9640.628,9897.473,9626.49,9769.026,9719.139,9581.116,9878.814,9672.78,9901.62,9654.435
14,9901.078,10228.988,9972.588,9935.548,10083.858,9875.755,9562.45,9806.541,9420.235,9641.5,9750.118,10047.312,9751.349,9913.994,9847.482,9654.002,10006.297,9788.995,10029.726,9756.807
15,10072.936,10445.845,10131.545,10070.609,10223.131,10004.994,9649.165,9953.18,9495.9,9747.689,9879.104,10224.906,9894.802,10083.644,9997.596,9741.18,10154.092,9923.859,10182.071,9877.508
16,10260.593,10698.652,10311.8545,10229.659,10391.355,10147.77,9757.457,10123.121,9583.974,9871.248,10028.213,10419.97,10058.111,10270.326,10161.378,9847.9375,10325.54,10084.99,10348.161,10011.664
17,10474.301,10976.331,10512.833,10408.203,10577.336,10322.434,9873.6875,10316.945,9693.854,10018.323,10205.123,10640.171,10244.543,10487.936,10358.574,9966.001,10516.716,10258.609,10537.082,10159.538
18,10708.41,11280.848,10736.25,10607.647,10789.768,10513.376,10001.267,10532.007,9812.549,10181.09,10399.453,10890.576,10450.416,10726.196,10563.847,10103.645,10727.47,10457.014,10748.602,10326.798
19,10967.204,11614.307,10984.788,10822.827,11012.811,10728.527,10144.128,10760.776,9950.499,10357.72,10615.894,11163.279,10683.733,10993.753,10798.719,10256.89,10961.578,10670.117,10986.775,10515.579
20,11248.715,11976.68,11251.57,11058.931,11253.322,10960.758,10300.825,11009.756,10100.746,10550.612,10851.617,11452.103,10939.985,11276.808,11057.232,10423.212,11216.032,10909.792,11243.8955,10718.487
21,11545.939,12381.139,11532.9,11321.636,11514.387,11206.711,10469.724,11281.452,10259.965,10755.03,11110.707,11767.077,11213.716,11585.623,11333.099,10612.794,11487.492,11175.68,11513.868,10942.877
22,11862.785,12807.791,11840.091,11604.823,11800.026,11477.975,10655.247,11570.732,10434.861,10985.43,11390.701,12107.438,11512.407,11922.633,11629.158,10814.186,11781.472,11461.443,11812.524,11189.504
23,12197.701,13262.892,12175.561,11913.35,12102.1875,11757.919,10849.681,11881.203,10621.801,11228.826,11699.801,12466.816,11830.782,12284.133,11951.214,11032.529,12089.0625,11766.04,12131.959,11448.958
24,12554.059,13743.138,12524.152,12232.95,12420.131,12061.432,11065.932,12202.418,10820.46,11485.998,12024.916,12852.341,12169.845,12670.262,12288.809,11263.252,12412.618,12094.786,12476.01,11727.23
25,12925.613,14245.715,12895.65,12579.849,12750.47,12383.845,11290.39,12552.154,11030.788,11767.824,12377.0625,13260.907,12537.883,13069.8,12642.027,11512.238,12770.886,12445.45,12836.342,12022.254
26,13311.89,14773.548,13283.836,12949.704,13105.161,12723.865,11524.873,12917.334,11256.868,12066.532,12741.029,13695.817,12915.449,13494.049,13016.187,11782.298,13146.936,12818.115,13209.559,12336.865
27,13711.713,15322.416,13695.372,13326.231,13475.707,13082.915,11774.066,13302.6045,11493.409,12377.635,13129.858,14139.107,13317.883,13940.109,13397.67,12074.415,13539.447,13203.184,13605.605,12667.033
28,14124.713,15893.209,14134.194,13729.21,13865.562,13469.735,12037.897,13710.994,11748.912,12709.461,13540.923,14597.011,13745.19,14407.565,13801.012,12382.572,13955.751,13610.438,14012.556,13008.737
29,14552.942,16473.67,14582.715,14148.47,14272.316,13871.106,12316.616,14129.425,12013.931,13056.784,13964.844,15079.583,14186.54,14898.896,14223.122,12706.999,14394.413,14044.44,14445.1455,13375.249
30,14987.715,17086.152,15045.9375,14586.598,14687.549,14291.719,12606.577,14577.27,12290.8,13418.009,14400.945,15580.273,14645.673,15413.917,14666.261,13044.719,14840.502,14502.71,14897.924,13750.904
31,15433.328,17705.607,15540.106,15051.091,15138.302,14727.7705,12909.176,15032.887,12584.075,13802.753,14859.091,16101.911,15136.163,15954.242,15135.389,13394.532,15322.076,14987.419,15374.047,14144.59
32,15889.307,18358.275,16053.389,15541.976,15617.691,15196.246,13233.256,15526.42,12894.84,14195.672,15343.117,16658.096,15648.097,16520.432,15636.551,13771.691,15832.912,15505.714,15884.952,14577.301
33,16371.873,19032.861,16612.479,16058.331,16115.396,15693.837,13572.795,16041.06,13227.033,14623.266,15857.483,17237.879,16196.795,17132.328,16159.006,14169.17,16362.718,16059.7295,16413.734,15026.288
34,16870.246,19730.688,17199.14,16585.613,16633.045,16209.321,13918.685,16577.615,13567.009,15063.341,16395.541,17837.354,16758.36,17743.28,16696.533,14584.686,16919.473,16639.375,16978.041,15495.124
35,17368.734,20448.076,17810.916,17137.45,17172.246,16746.31,14279.463,17132.01,13913.749,15525.708,16937.82,18463.14,17333.967,18380.11,17264.498,15015.672,17504.672,17241.428,17562.684,15980.606
36,17878.54,21177.674,18444.934,17700.676,17728.584,17302.549,14653.084,17700.639,14275.145,15999.215,17493.904,19100.95,17930.701,19044.42,17851.6,15459.417,18112.35,17864.5,18152.531,16479.04
37,18405.791,21933.691,19107.225,18289.16,18307.965,17888.658,15039.16,18291.01,14658.794,16482.84,18080.174,19763.287,18561.375,19739.824,18455.959,15931.863,18742.264,18519.602,18783.996,16995.084
38,18921.762,22689.031,19761.246,18876.748,18893.654,18476.58,15423.188,18902.352,15034.606,16975.117,18671.867,20439.805,19201.514,20433.125,19066.197,16406.957,19376.088,19195.607,19408.162,17520.227
39,19440.477,23450.62,20432.271,19472.205,19489.836,19075.967,15820.692,19512.652,15418.264,17478.803,19265.832,21121.127,19839.994,21138.34,19694.195,16890.31,20025.613,19879.178,20040.756,18048.803
40,19978.617,24234.062,21121.14,20082.973,20099.844,19682.092,16217.362,20146.201,15802.081,17976.676,19865.736,21805.943,20497.37,21860.627,20328.637,17375.027,20688.281,20574.117,20698.21,18575.193
